id,Exited
15000,[0.01760913]
15001,[0.57953566]
15002,[0.19575743]
15003,[0.6180547]
15004,[0.02785151]
15005,[0.6067401]
15006,[0.62063164]
15007,[0.01763187]
15008,[0.48684177]
15009,[0.61367345]
15010,[0.16730782]
15011,[0.01878836]
15012,[0.3604602]
15013,[0.01856807]
15014,[0.02027751]
15015,[0.02762677]
15016,[0.5921699]
15017,[0.49598423]
15018,[0.05045154]
15019,[0.03358125]
15020,[0.30005348]
15021,[0.41839767]
15022,[0.1429613]
15023,[0.30473077]
15024,[0.0182442]
15025,[0.01712832]
15026,[0.14805432]
15027,[0.02179637]
15028,[0.66516435]
15029,[0.8452034]
15030,[0.02813067]
15031,[0.01746495]
15032,[0.8657116]
15033,[0.575328]
15034,[0.5675868]
15035,[0.2077481]
15036,[0.01882989]
15037,[0.49454215]
15038,[0.3078646]
15039,[0.16182372]
15040,[0.04064916]
15041,[0.44259566]
15042,[0.2764516]
15043,[0.42197016]
15044,[0.40136462]
15045,[0.21661332]
15046,[0.02888967]
15047,[0.44577184]
15048,[0.24943808]
15049,[0.03887523]
15050,[0.02992098]
15051,[0.03753882]
15052,[0.40696597]
15053,[0.01842282]
15054,[0.6157911]
15055,[0.02414705]
15056,[0.02810706]
15057,[0.4066767]
15058,[0.60978293]
15059,[0.72070396]
15060,[0.01893213]
15061,[0.03050449]
15062,[0.4494342]
15063,[0.24014312]
15064,[0.40725788]
15065,[0.6076292]
15066,[0.01807272]
15067,[0.61478627]
15068,[0.13727538]
15069,[0.30216128]
15070,[0.49997136]
15071,[0.01801848]
15072,[0.02281185]
15073,[0.01729958]
15074,[0.57503235]
15075,[0.01845738]
15076,[0.02019791]
15077,[0.01739713]
15078,[0.1657308]
15079,[0.01751894]
15080,[0.01731161]
15081,[0.0239282]
15082,[0.43463022]
15083,[0.02428157]
15084,[0.01876325]
15085,[0.15502895]
15086,[0.61572814]
15087,[0.17072344]
15088,[0.01775396]
15089,[0.2198418]
15090,[0.02374635]
15091,[0.16243987]
15092,[0.13474101]
15093,[0.03068013]
15094,[0.30983254]
15095,[0.16531527]
15096,[0.02238092]
15097,[0.02689006]
15098,[0.01855087]
15099,[0.03460856]
15100,[0.02068345]
15101,[0.01825919]
15102,[0.38583905]
15103,[0.398705]
15104,[0.01779439]
15105,[0.01686452]
15106,[0.14240362]
15107,[0.01740656]
15108,[0.01912528]
15109,[0.0180578]
15110,[0.01904371]
15111,[0.01703039]
15112,[0.03530241]
15113,[0.01886342]
15114,[0.5019235]
15115,[0.61391413]
15116,[0.61172855]
15117,[0.16648728]
15118,[0.37265575]
15119,[0.3097075]
15120,[0.4326376]
15121,[0.01803496]
15122,[0.01900744]
15123,[0.01724925]
15124,[0.02888765]
15125,[0.4350982]
15126,[0.01817672]
15127,[0.57876813]
15128,[0.03453683]
15129,[0.24505094]
15130,[0.44665465]
15131,[0.2834194]
15132,[0.43220666]
15133,[0.39952874]
15134,[0.11640649]
15135,[0.1515594]
15136,[0.43556586]
15137,[0.01857772]
15138,[0.01782441]
15139,[0.35883954]
15140,[0.53617024]
15141,[0.01781105]
15142,[0.01851421]
15143,[0.1415169]
15144,[0.49403834]
15145,[0.01664047]
15146,[0.02283251]
15147,[0.03235329]
15148,[0.12920393]
15149,[0.31229708]
15150,[0.01765155]
15151,[0.025698]
15152,[0.15640901]
15153,[0.01874517]
15154,[0.05638777]
15155,[0.03204835]
15156,[0.86974096]
15157,[0.27705374]
15158,[0.58762634]
15159,[0.0275908]
15160,[0.02014133]
15161,[0.01882893]
15162,[0.02491077]
15163,[0.16269433]
15164,[0.5997403]
15165,[0.02244784]
15166,[0.60205173]
